model,condition,scenario_id,ground_truth_class,classification_mode,classification_agreement_rate,classification_accuracy_across_repetitions,ground_truth_risk,risk_mode,risk_agreement_rate
deepseek-r1:8b,rag,NORMAL_014,normal,INVALID_CLASSIFICATION,1.0,0.0,low,INVALID_RISK,1.0
deepseek-r1:8b,rag,SEC_017,normal,normal,1.0,1.0,low,low,1.0
deepseek-r1:8b,rag,PROC_005,abnormal,abnormal,1.0,1.0,medium,high,1.0
deepseek-r1:8b,rag,SEC_005,abnormal,abnormal,1.0,1.0,high,high,1.0
deepseek-r1:8b,rag,AUTH_005,abnormal,abnormal,1.0,1.0,medium,high,1.0
deepseek-r1:8b,rag,USB_007,abnormal,INVALID_CLASSIFICATION,1.0,0.0,medium,INVALID_RISK,1.0
deepseek-r1:8b,rag,NET_005,normal,INVALID_CLASSIFICATION,1.0,0.0,low,INVALID_RISK,1.0
deepseek-r1:8b,rag,AUTH_003,normal,abnormal,1.0,0.0,low,medium,1.0
deepseek-r1:8b,rag,SEC_010,abnormal,abnormal,1.0,1.0,high,high,1.0
deepseek-r1:8b,rag,NET_012,abnormal,INVALID_CLASSIFICATION,1.0,0.0,high,INVALID_RISK,1.0
deepseek-r1:8b,rag,AUTH_009,abnormal,abnormal,1.0,1.0,high,medium,1.0
deepseek-r1:8b,rag,USB_017,normal,normal,1.0,1.0,low,low,1.0
deepseek-r1:8b,rag,PROC_016,normal,INVALID_CLASSIFICATION,1.0,0.0,low,INVALID_RISK,1.0
deepseek-r1:8b,rag,PERSIST_006,abnormal,INVALID_CLASSIFICATION,1.0,0.0,high,INVALID_RISK,1.0
deepseek-r1:8b,rag,PROC_006,abnormal,INVALID_CLASSIFICATION,1.0,0.0,medium,INVALID_RISK,1.0
deepseek-r1:8b,rag,PERSIST_017,normal,normal,1.0,1.0,low,low,1.0
deepseek-r1:8b,rag,PERSIST_014,abnormal,INVALID_CLASSIFICATION,1.0,0.0,critical,INVALID_RISK,1.0
deepseek-r1:8b,rag,NORMAL_016,normal,normal,1.0,1.0,low,low,1.0
deepseek-r1:8b,rag,NORMAL_006,normal,normal,1.0,1.0,low,low,1.0
gemma3:12b,rag,NORMAL_008,normal,normal,1.0,1.0,low,low,1.0
gemma3:12b,rag,NORMAL_014,normal,abnormal,1.0,0.0,low,high,1.0
gemma3:12b,rag,SEC_017,normal,normal,1.0,1.0,low,low,1.0
gemma3:12b,rag,PROC_005,abnormal,abnormal,1.0,1.0,medium,medium,1.0
gemma3:12b,rag,SEC_005,abnormal,abnormal,1.0,1.0,high,high,1.0
gemma3:12b,rag,AUTH_005,abnormal,abnormal,1.0,1.0,medium,medium,1.0
gemma3:12b,rag,USB_007,abnormal,abnormal,1.0,1.0,medium,high,1.0
gemma3:12b,rag,NET_005,normal,abnormal,1.0,0.0,low,high,1.0
gemma3:12b,rag,AUTH_003,normal,abnormal,1.0,0.0,low,medium,1.0
gemma3:12b,rag,SEC_010,abnormal,abnormal,1.0,1.0,high,high,1.0
gemma3:12b,rag,NET_012,abnormal,abnormal,1.0,1.0,high,high,1.0
gemma3:12b,rag,AUTH_009,abnormal,abnormal,1.0,1.0,high,medium,1.0
gemma3:12b,rag,USB_017,normal,normal,1.0,1.0,low,low,1.0
gemma3:12b,rag,PROC_016,normal,normal,1.0,1.0,low,low,1.0
gemma3:12b,rag,PERSIST_006,abnormal,abnormal,1.0,1.0,high,medium,1.0
gemma3:12b,rag,PROC_006,abnormal,normal,1.0,0.0,medium,low,1.0
gemma3:12b,rag,PERSIST_017,normal,normal,1.0,1.0,low,low,1.0
gemma3:12b,rag,PERSIST_014,abnormal,abnormal,1.0,1.0,critical,high,1.0
gemma3:12b,rag,NORMAL_016,normal,normal,1.0,1.0,low,low,1.0
gemma3:12b,rag,NORMAL_006,normal,normal,1.0,1.0,low,low,1.0
gpt-oss:20b,rag,NORMAL_008,normal,normal,1.0,1.0,low,low,1.0
gpt-oss:20b,rag,NORMAL_014,normal,normal,1.0,1.0,low,low,1.0
gpt-oss:20b,rag,SEC_017,normal,normal,1.0,1.0,low,low,1.0
gpt-oss:20b,rag,PROC_005,abnormal,abnormal,1.0,1.0,medium,high,1.0
gpt-oss:20b,rag,SEC_005,abnormal,abnormal,1.0,1.0,high,high,1.0
gpt-oss:20b,rag,AUTH_005,abnormal,abnormal,1.0,1.0,medium,medium,0.6
gpt-oss:20b,rag,USB_007,abnormal,abnormal,1.0,1.0,medium,medium,1.0
gpt-oss:20b,rag,NET_005,normal,abnormal,1.0,0.0,low,high,1.0
gpt-oss:20b,rag,AUTH_003,normal,abnormal,1.0,0.0,low,medium,1.0
gpt-oss:20b,rag,SEC_010,abnormal,abnormal,1.0,1.0,high,high,1.0
gpt-oss:20b,rag,NET_012,abnormal,abnormal,1.0,1.0,high,critical,1.0
gpt-oss:20b,rag,AUTH_009,abnormal,abnormal,1.0,1.0,high,medium,1.0
gpt-oss:20b,rag,USB_017,normal,normal,1.0,1.0,low,low,1.0
gpt-oss:20b,rag,PROC_016,normal,normal,1.0,1.0,low,low,1.0
gpt-oss:20b,rag,PERSIST_006,abnormal,abnormal,1.0,1.0,high,critical,0.4
gpt-oss:20b,rag,PROC_006,abnormal,abnormal,1.0,1.0,medium,high,1.0
gpt-oss:20b,rag,PERSIST_017,normal,normal,1.0,1.0,low,low,1.0
gpt-oss:20b,rag,PERSIST_014,abnormal,abnormal,1.0,1.0,critical,critical,1.0
gpt-oss:20b,rag,NORMAL_016,normal,normal,1.0,1.0,low,low,1.0
gpt-oss:20b,rag,NORMAL_006,normal,normal,1.0,1.0,low,low,1.0
llama3,rag,NORMAL_008,normal,normal,1.0,1.0,low,low,1.0
llama3,rag,NORMAL_014,normal,abnormal,1.0,0.0,low,high,1.0
llama3,rag,SEC_017,normal,normal,1.0,1.0,low,low,1.0
llama3,rag,PROC_005,abnormal,abnormal,1.0,1.0,medium,high,1.0
llama3,rag,SEC_005,abnormal,abnormal,1.0,1.0,high,high,1.0
llama3,rag,AUTH_005,abnormal,abnormal,1.0,1.0,medium,high,1.0
llama3,rag,USB_007,abnormal,abnormal,1.0,1.0,medium,high,1.0
llama3,rag,NET_005,normal,abnormal,1.0,0.0,low,high,1.0
llama3,rag,AUTH_003,normal,abnormal,1.0,0.0,low,medium,0.8
llama3,rag,SEC_010,abnormal,abnormal,1.0,1.0,high,high,1.0
llama3,rag,NET_012,abnormal,abnormal,1.0,1.0,high,high,1.0
llama3,rag,AUTH_009,abnormal,abnormal,1.0,1.0,high,medium,1.0
llama3,rag,USB_017,normal,normal,1.0,1.0,low,low,1.0
llama3,rag,PROC_016,normal,normal,1.0,1.0,low,low,1.0
llama3,rag,PERSIST_006,abnormal,abnormal,1.0,1.0,high,high,1.0
llama3,rag,PROC_006,abnormal,abnormal,1.0,1.0,medium,high,1.0
llama3,rag,PERSIST_017,normal,normal,1.0,1.0,low,low,1.0
llama3,rag,PERSIST_014,abnormal,abnormal,1.0,1.0,critical,high,1.0
llama3,rag,NORMAL_016,normal,normal,1.0,1.0,low,low,1.0
llama3,rag,NORMAL_006,normal,normal,1.0,1.0,low,low,1.0
qwen3:8b,rag,NORMAL_008,normal,normal,1.0,1.0,low,low,1.0
qwen3:8b,rag,NORMAL_014,normal,normal,1.0,1.0,low,low,1.0
qwen3:8b,rag,SEC_017,normal,normal,1.0,1.0,low,low,1.0
qwen3:8b,rag,PROC_005,abnormal,normal,1.0,0.0,medium,low,1.0
qwen3:8b,rag,SEC_005,abnormal,abnormal,1.0,1.0,high,high,1.0
qwen3:8b,rag,AUTH_005,abnormal,abnormal,1.0,1.0,medium,high,1.0
qwen3:8b,rag,USB_007,abnormal,normal,1.0,0.0,medium,low,1.0
qwen3:8b,rag,NET_005,normal,normal,1.0,1.0,low,low,1.0
qwen3:8b,rag,AUTH_003,normal,abnormal,1.0,0.0,low,high,1.0
qwen3:8b,rag,SEC_010,abnormal,abnormal,1.0,1.0,high,high,1.0
qwen3:8b,rag,NET_012,abnormal,abnormal,1.0,1.0,high,high,1.0
qwen3:8b,rag,AUTH_009,abnormal,abnormal,1.0,1.0,high,medium,1.0
qwen3:8b,rag,USB_017,normal,normal,1.0,1.0,low,low,1.0
qwen3:8b,rag,PROC_016,normal,normal,1.0,1.0,low,low,1.0
qwen3:8b,rag,PERSIST_006,abnormal,abnormal,1.0,1.0,high,high,1.0
qwen3:8b,rag,PROC_006,abnormal,normal,1.0,0.0,medium,low,1.0
qwen3:8b,rag,PERSIST_017,normal,normal,1.0,1.0,low,low,1.0
qwen3:8b,rag,PERSIST_014,abnormal,abnormal,1.0,1.0,critical,high,1.0
qwen3:8b,rag,NORMAL_016,normal,normal,1.0,1.0,low,low,1.0
qwen3:8b,rag,NORMAL_006,normal,normal,1.0,1.0,low,low,1.0
